chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr11,-,60658018,60665423,NM_014502.5,BS,7405
chr11,-,60658018,60671333,NM_014502.5,BS,13315
chr11,-,60658018,60666776,NM_014502.5,BS,8758
chr11,-,60658018,60668401,NM_014502.5,BS,10383
chr11,-,60658018,60668841,NM_014502.5,BS,10823
chr11,-,60658018,60670128,NM_014502.5,BS,12110
chr8,+,94717652,94718424,NR_156451.2,BS,772
chr8,+,94718272,94731016,NR_156451.2,BS,12744
chr8,+,94718272,94722103,NR_156451.2,BS,3831
chr16,+,1550347,1560455,NM_016111.4,BS,10108
chr16,+,1557306,1560455,NM_016111.4,BS,3149
chr16,+,1552047,1560455,NM_016111.4,BS,8408
chr16,+,1549231,1560455,NM_016111.4,BS,11224
chr16,+,1552931,1560455,NM_016111.4,BS,7524
chr16,+,1551663,1560455,NM_016111.4,BS,8792
chr16,+,1551420,1560455,NM_016111.4,BS,9035
chr16,+,1556952,1560455,NM_016111.4,BS,3503
chr16,+,1552645,1560455,NM_016111.4,BS,7810
chr14,-,100800126,100820206,NM_173701.2,BS,20080
chr14,-,100800126,100828258,NM_173701.2,BS,28132
chr14,-,100800126,100835595,NM_173701.2,BS,35469
chr14,-,100800126,100803539,NM_173701.2,BS,3413
chr14,-,100800126,100808908,NM_173701.2,BS,8782
chr11,-,18501857,18503416,NM_006292.4,BS,1559
chr11,-,18501857,18505619,NM_006292.4,BS,3762
chr11,-,18501857,18537711,NM_006292.4,BS,35854
chr11,-,18501857,18524124,NM_006292.4,BS,22267
chrX,-,24576203,24608291,NM_004845.5,BS,32088
chr19,-,13226439,13227245,NM_001351762.2,BS,806
chr1,+,100752654,100758325,NM_001130841.2,BS,5671
chr3,-,17275176,17279911,NM_001349082.2,BS,4735
chr3,-,17444672,17603634,NM_001349082.2,BS,158962
chr3,-,17333386,17603634,NM_001349082.2,BS,270248
chr15,+,101152370,101191906,NM_198243.3,BS,39536
chr11,+,16760193,16769704,NM_014267.6,BS,9511
chr12,+,101988748,102025497,NM_002465.4,BS,36749
chr5,-,69776869,69814232,NR_034021.1,BS,37363
chr20,-,20021329,20036690,NM_016652.6,BS,15361
chr9,-,139700836,139703300,NR_024580.1,BS,2464
chr19,-,5993174,6010262,NM_000635.4,BS,17088
chr19,-,5993174,6044293,NM_000635.4,BS,51119
chr13,+,111909913,111930020,NM_001354061.2,BS,20107
chr10,-,104899162,104941085,NM_001351187.2,BS,41923
chr10,-,104853728,104953029,NM_001351187.2,BS,99301
chr10,-,104865114,104941085,NM_001351187.2,BS,75971
chr3,+,196466727,196541439,NM_002577.4,BS,74712
chr3,+,196533449,196559518,NM_002577.4,BS,26069
chr10,-,115887219,115917439,NM_001321829.1,BS,30220
chr19,-,53577392,53588471,NM_001322139.2,BS,11079
chr3,+,100432486,100467808,NM_006070.6,BS,35322
chr3,+,100447555,100467808,NM_006070.6,BS,20253
chr6,+,42929949,42931187,NM_001318856.2,BS,1238
chrX,+,106888406,106894256,NM_002764.4,BS,5850
chr2,-,27548720,27566445,NM_001394510.1,BS,17725
chr2,-,27548720,27556866,NM_001394510.1,BS,8146
chr2,+,154757448,155295238,NM_001376402.1,BS,537790
chr2,+,154757448,155252642,NM_001376402.1,BS,495194
chr2,+,154757448,155115651,NM_001376402.1,BS,358203
chr2,+,154757448,155102495,NM_001376402.1,BS,345047
chr2,+,154757448,155265594,NM_001376402.1,BS,508146
chr2,+,154757448,155158102,NM_001376402.1,BS,400654
chr2,+,154757448,154801152,NM_001376402.1,BS,43704
chr2,+,154757448,154997018,NM_001376402.1,BS,239570
chr7,+,106809447,106826917,NM_012257.4,BS,17470
chr20,-,60963689,60982341,NM_031215.3,BS,18652
chr20,-,60963689,60966509,NM_031215.3,BS,2820
chr1,+,100340242,100389579,NM_000028.2,BS,49337
chr1,+,100316044,100358163,NM_000028.2,BS,42119
chr1,+,100368238,100389579,NM_000028.2,BS,21341
chr1,+,100316044,100366417,NM_000028.2,BS,50373
chr2,+,197504438,197523584,NM_001080539.2,BS,19146
chr2,+,197504438,197521577,NM_001080539.2,BS,17139
chr5,+,55209304,55212662,NM_001242638.2,BS,3358
chr5,+,55206359,55212662,NM_001242638.2,BS,6303
chr11,-,33106129,33108687,NM_001326.3,BS,2558
chr12,-,53573560,53574430,NM_015989.5,BS,870
chr3,+,48505980,48509044,NM_001271023.2,BS,3064
chrX,-,149934808,149938842,NM_001242614.2,BS,4034
chr4,+,79202551,79465423,NM_025074.7,BS,262872
chr4,+,79428574,79465423,NM_025074.7,BS,36849
chr4,+,78987138,79465423,NM_025074.7,BS,478285
chr4,+,79334122,79465423,NM_025074.7,BS,131301
chr4,+,79371304,79465423,NM_025074.7,BS,94119
chr1,-,114267380,114301470,NR_136564.2,BS,34090
chr1,-,114300320,114301470,NR_136564.2,BS,1150
chr16,+,89655082,89663654,NM_014427.5,BS,8572
chr1,+,150048993,150054967,NM_001279354.2,BS,5974
chr1,+,150048993,150049857,NM_001279354.2,BS,864
chr1,+,150048993,150082742,NM_001279354.2,BS,33749
chr5,-,127412638,127417886,NR_152807.1,BS,5248
chrX,+,135386291,135405551,NM_153834.4,BS,19260
chrX,+,135386291,135391006,NM_153834.4,BS,4715
chr17,+,43209985,43212959,NM_001321352.2,BS,2974
chr12,-,25276144,25311497,NM_001082972.3,BS,35353
chr12,-,25297298,25311497,NM_001082972.3,BS,14199
chr12,-,25272078,25343565,NM_001082972.3,BS,71487
chr2,-,85621875,85628452,NM_001747.4,BS,6577
chr2,-,85621875,85625275,NM_001747.4,BS,3400
chr2,-,85621875,85629080,NM_001747.4,BS,7205
chr2,-,85621875,85625905,NM_001747.4,BS,4030
chr14,-,64957078,64969845,NM_001354686.2,BS,12767
chr9,-,131604932,131609138,NR_148225.1,BS,4206
chr9,-,131598275,131609138,NR_148225.1,BS,10863
chr7,+,98972352,98985884,NM_005720.4,BS,13532
chr17,-,39910860,39928114,NM_001352773.2,BS,17254
chr17,-,39910860,39923832,NM_001352773.2,BS,12972
chr17,-,39910860,39942963,NM_001352773.2,BS,32103
chr17,-,39910860,39914036,NM_001352773.2,BS,3176
chr17,-,39910860,39921319,NM_001352773.2,BS,10459
chr17,-,39910860,39915122,NM_001352773.2,BS,4262
chr17,-,39910860,39913788,NM_001352773.2,BS,2928
chr17,-,39910860,39921068,NM_001352773.2,BS,10208
chr5,+,150847267,150871940,NM_001349740.2,BS,24673
chr5,+,150843113,150871940,NM_001349740.2,BS,28827
chr5,+,150858880,150871940,NM_001349740.2,BS,13060
chr5,+,150856150,150871940,NM_001349740.2,BS,15790
chr5,+,150827163,150871940,NM_001349740.2,BS,44777
chr2,-,73957686,73959831,NM_001330390.2,BS,2145
chr1,+,25889560,25895377,NM_015627.3,BS,5817
chr1,+,25891663,25895377,NM_015627.3,BS,3714
chr1,+,25890151,25895377,NM_015627.3,BS,5226
chr15,+,25418904,25420430,NR_146177.1,BS,1526
chr15,+,25415682,25490997,NR_146177.1,BS,75315
chr15,+,25415682,25497480,NR_146177.1,BS,81798
chr15,+,25418904,25490997,NR_146177.1,BS,72093
chr15,+,25415682,25420430,NR_146177.1,BS,4748
chr15,+,25415682,25424254,NR_146177.1,BS,8572
chr15,+,25422303,25430721,NR_146177.1,BS,8418
chr15,+,25415682,25524031,NR_146177.1,BS,108349
chr15,+,25415682,25425587,NR_146177.1,BS,9905
chr15,+,25415682,25429222,NR_146177.1,BS,13540
chr15,+,25415682,25462489,NR_146177.1,BS,46807
chr15,+,25349005,25363529,NR_146177.1,BS,14524
chr15,+,25415682,25440437,NR_146177.1,BS,24755
chr4,+,54249939,54306775,NM_001376744.1,BS,56836
chr1,-,24189623,24193369,NR_174382.1,BS,3746
chr9,-,110190572,110217254,NR_121581.1,BS,26682
chr11,+,865917,867111,NM_001025237.2,BS,1194
chr11,+,865512,867111,NM_001025237.2,BS,1599
chr2,+,64117214,64118694,NM_001377529.1,BS,1480
chr2,+,64112722,64118694,NM_001377529.1,BS,5972
chr2,+,64113474,64118694,NM_001377529.1,BS,5220
chr7,-,20174277,20194004,NM_182762.4,BS,19727
chr12,+,44164840,44177527,NM_001351341.2,BS,12687
chr12,+,44164840,44176293,NM_001351341.2,BS,11453
chr2,-,3593290,3604494,NR_148534.2,BS,11204
chr2,-,3593290,3598062,NR_148534.2,BS,4772
chr6,+,42790533,42836294,NM_001318819.2,BS,45761
chr6,+,42789755,42836294,NM_001318819.2,BS,46539
chr19,+,49458943,49464171,NR_027882.2,BS,5228
chr15,+,84180495,84257523,NR_136712.2,BS,77028
chr15,+,84180495,84245493,NR_136712.2,BS,64998
chr15,+,84180495,84278218,NR_136712.2,BS,97723
chr7,+,142997296,142997533,NM_001224.5,BS,237
chr15,+,43622869,43625632,NM_001324366.2,BS,2763
chr10,-,38242622,38260949,NR_138066.2,BS,18327
chr12,+,20657579,20709644,NM_001378408.1,BS,52065
chr12,+,20657579,20769318,NM_001378408.1,BS,111739
chr12,+,20657579,20774345,NM_001378408.1,BS,116766
chr12,+,20657579,20807139,NM_001378408.1,BS,149560
chr10,-,62645869,62745703,NM_001350906.2,BS,99834
chr10,-,62634711,62658488,NM_001350906.2,BS,23777
chr10,-,62671108,62745703,NM_001350906.2,BS,74595
chr6,-,43643230,43655528,NM_018135.4,BS,12298
chr12,-,22635490,22672173,NM_001385333.1,BS,36683
chr19,-,40325097,40331427,NM_001436.4,BS,6330
chr19,-,40325097,40325453,NM_001436.4,BS,356
chr19,-,40325097,40331155,NM_001436.4,BS,6058
chr19,-,40325097,40330967,NM_001436.4,BS,5870
chr19,-,40325097,40327308,NM_001436.4,BS,2211
chr19,-,40325097,40328483,NM_001436.4,BS,3386
chr19,-,40325097,40329845,NM_001436.4,BS,4748
chr16,-,1560427,1573701,NM_014714.4,BS,13274
chr16,-,1560427,1574696,NM_014714.4,BS,14269
chr12,-,21621843,21644650,NM_002907.4,BS,22807
chr6,-,149773751,149806150,NM_207360.3,BS,32399
chr6,-,149782966,149806150,NM_207360.3,BS,23184
chr6,-,149777801,149806150,NM_207360.3,BS,28349
chr1,+,31791013,31792013,NM_001282569.2,BS,1000
chr7,+,115891813,115898837,NM_015641.4,BS,7024
chr1,+,150525018,150533409,NM_001378596.1,BS,8391
chr1,+,150530948,150533409,NM_001378596.1,BS,2461
chr11,-,77589765,77692622,NM_033547.4,BS,102857
chr17,+,4686148,4686506,NM_003963.3,BS,358
chr2,-,27587218,27587765,NM_001318966.2,BS,547
chr2,-,27587218,27590426,NM_001318966.2,BS,3208
chr2,-,27587218,27591330,NM_001318966.2,BS,4112
chr2,-,27587218,27590068,NM_001318966.2,BS,2850
chr11,+,73498918,73516124,NR_134659.2,BS,17206
chr14,+,56046924,56068598,NR_073129.2,BS,21674
chr14,+,56046924,56104082,NR_073129.2,BS,57158
chr14,+,56094629,56151297,NR_073129.2,BS,56668
chr14,+,56107650,56151297,NR_073129.2,BS,43647
chr6,-,144281605,144290115,NM_001289045.2,BS,8510
chr16,-,90071278,90075838,NM_001288708.2,BS,4560
chr2,+,145425533,145525847,NR_033870.2,BS,100314
chr19,+,58921331,58929694,NM_001318002.2,BS,8363
chr19,+,58927185,58929694,NM_001318002.2,BS,2509
chr3,+,15671508,15683564,NM_001281724.3,BS,12056
chr4,-,77065301,77068793,NR_103782.2,BS,3492
chr21,+,46600244,46640885,NM_001346687.2,BS,40641
chr1,-,155216995,155220612,NM_006589.3,BS,3617
chr2,+,48589781,48606434,NM_001375442.1,BS,16653
chr9,+,139887091,139888428,NR_138077.2,BS,1337
chr9,+,139886873,139888428,NR_138077.2,BS,1555
chr9,+,139886873,139887426,NR_138077.2,BS,553
chr10,-,98917574,99025882,NR_037909.1,BS,108308
chr1,+,230193535,230381896,NM_001291866.2,BS,188361
chr10,+,131964770,131977936,NM_001321980.2,BS,13166
chr4,+,146560226,146581185,NM_001375644.1,BS,20959
chr4,+,146572213,146581185,NM_001375644.1,BS,8972
chr4,+,146575145,146581185,NM_001375644.1,BS,6040
chr17,-,66417421,66423394,NR_135470.2,BS,5973
chr17,-,66417421,66426301,NR_135470.2,BS,8880
chr17,-,66430560,66449133,NR_135470.2,BS,18573
chr17,-,66430560,66447038,NR_135470.2,BS,16478
chr13,+,113745434,113750967,NM_001320815.2,BS,5533
chr2,-,69685128,69757272,NM_014911.5,BS,72144
chr2,-,69685128,69759294,NM_014911.5,BS,74166
chr2,-,69685128,69736592,NM_014911.5,BS,51464
chr15,-,25652213,25684171,NM_001354543.2,BS,31958
chr17,-,40048531,40075275,NM_001303274.1,BS,26744
chr17,-,40062780,40075275,NM_001303274.1,BS,12495
chr17,-,40028284,40075275,NM_001303274.1,BS,46991
chr1,+,211533253,211534121,NM_145759.3,BS,868
chr1,+,211519705,211527809,NM_145759.3,BS,8104
chr12,-,123474333,123475256,NM_020845.3,BS,923
chr6,+,37443901,37449284,NM_015050.3,BS,5383
chr6,+,37443096,37449284,NM_015050.3,BS,6188
chr6,+,37429324,37449284,NM_015050.3,BS,19960
chr6,+,37446184,37449284,NM_015050.3,BS,3100
chr12,-,117890816,117914400,NM_173598.6,BS,23584
chr15,-,70351748,70390256,NM_005078.4,BS,38508
chr15,-,70358352,70390256,NM_005078.4,BS,31904
chr22,+,38035675,38037485,NM_018957.6,BS,1810
chr12,+,70739959,70748773,NR_037615.2,BS,8814
chr12,+,70737907,70748773,NR_037615.2,BS,10866
chr4,-,71521257,71523008,NM_144646.4,BS,1751
chr5,-,176829141,176831915,NM_000505.4,BS,2774
chr5,-,176829141,176832806,NM_000505.4,BS,3665
chr5,-,176829141,176829699,NM_000505.4,BS,558
chr3,-,121396131,121438597,NM_001389631.1,BS,42466
chr16,+,72139903,72146811,NM_014003.4,BS,6908
chr7,-,73645831,73654425,NM_001278791.2,BS,8594
chr3,-,155197669,155282907,NM_001349252.2,BS,85238
chr11,+,747463,759057,NM_006755.2,BS,11594
chr5,+,70939645,70954533,NM_022132.5,BS,14888
chr19,-,42702749,42713992,NM_001270614.2,BS,11243
chr19,+,41281441,41282984,NR_037775.1,BS,1543
chr1,+,165872418,165880855,NM_001363568.2,BS,8437
chr1,+,165859440,165880855,NM_001363568.2,BS,21415
chr12,+,56547592,56551766,NM_001199629.2,BS,4174
chr12,+,56551481,56551766,NM_001199629.2,BS,285
chr12,+,56549202,56551766,NM_001199629.2,BS,2564
chr1,+,214832192,214837914,NM_016343.4,BS,5722
chr1,+,214776537,214811344,NM_016343.4,BS,34807
chr12,-,122286904,122301502,NM_001171993.2,BS,14598
chr12,-,122277432,122295338,NM_001171993.2,BS,17906
chr21,+,30698379,30724134,NR_027655.3,BS,25755
chr21,+,30677524,30693835,NR_027655.3,BS,16311
chr1,+,221055505,221058401,NM_021958.4,BS,2896
chr19,+,1425876,1435683,NM_170711.3,BS,9807
chr19,+,1429965,1435683,NM_170711.3,BS,5718
chr19,+,1432512,1435683,NM_170711.3,BS,3171
chr19,+,1407584,1435683,NM_170711.3,BS,28099
chr19,+,1433737,1435683,NM_170711.3,BS,1946
chr19,+,1430220,1435683,NM_170711.3,BS,5463
chr19,+,1421146,1435683,NM_170711.3,BS,14537
chr20,-,33516235,33524826,NM_001322495.1,BS,8591
chr17,-,66863429,66914326,NM_001288985.2,BS,50897
chr3,+,186790636,186796341,NM_173216.2,BS,5705
chr3,+,186760441,186796341,NM_173216.2,BS,35900
chr17,-,26963982,26970005,NM_001363829.1,BS,6023
chr17,-,26967577,26970005,NM_001363829.1,BS,2428
chr17,-,26966332,26970005,NM_001363829.1,BS,3673
chr17,-,26965269,26972177,NM_001363829.1,BS,6908
chr17,-,26960566,26970005,NM_001363829.1,BS,9439
chr18,-,70416248,70467074,NM_001354018.2,BS,50826
chr22,+,39476937,39477590,NM_001349436.1,BS,653
chr22,+,39476937,39479889,NM_001349436.1,BS,2952
chr16,+,2097985,2126586,NM_000548.5,BS,28601
chr19,-,10501808,10505819,NM_007065.4,BS,4011
chr19,-,10501808,10506019,NM_007065.4,BS,4211
chr19,-,10501808,10503833,NM_007065.4,BS,2025
chr19,-,10501808,10506879,NM_007065.4,BS,5071
chr3,+,132535533,132546850,NR_002811.2,BS,11317
chr3,+,132537190,132579464,NR_002811.2,BS,42274
chr3,+,132537190,132546850,NR_002811.2,BS,9660
chr3,+,132535533,132537959,NR_002811.2,BS,2426
chr3,+,111700630,111712215,NM_001272069.2,BS,11585
chr3,+,111705760,111712215,NM_001272069.2,BS,6455
chr3,+,111705110,111712215,NM_001272069.2,BS,7105
chr3,+,152163070,152175982,NR_170703.1,BS,12912
chrX,-,20168028,20222221,NM_004586.3,BS,54193
chrX,-,20168028,20181158,NM_004586.3,BS,13130
chr7,+,36324294,36341147,NM_030636.3,BS,16853
chr7,+,36278593,36341147,NM_030636.3,BS,62554
chr22,-,24856420,24871121,NR_028483.2,BS,14701
chr22,-,24848178,24871121,NR_028483.2,BS,22943
chr9,+,133320093,133346291,NM_000050.4,BS,26198
chr9,+,133370253,133376661,NM_000050.4,BS,6408
chr9,+,133320093,133346902,NM_000050.4,BS,26809
chrX,+,131203505,131209971,NM_016542.4,BS,6466
chr8,+,100133404,100889808,NM_017890.5,BS,756404
chr8,+,100789002,100889808,NM_017890.5,BS,100806
chr17,-,72691863,72699237,NM_001289085.2,BS,7374
chr14,+,105851215,105864484,NM_001100913.3,BS,13269
chr1,+,147889812,147892755,NR_168366.1,BS,2943
chr19,-,36604610,36605314,NM_006233.5,BS,704
chr19,-,36604610,36605153,NM_006233.5,BS,543
chr19,-,36604610,36604968,NM_006233.5,BS,358
chr8,-,104410865,104415552,NR_102338.2,BS,4687
chr5,+,2066639,2069457,NR_171679.1,BS,2818
chr20,+,31427540,31438211,NM_012325.3,BS,10671
chr11,-,1773984,1782698,NM_001909.5,BS,8714
chr11,-,1773984,1780317,NM_001909.5,BS,6333
chr11,-,1773984,1778786,NM_001909.5,BS,4802
chr11,-,1773984,1780869,NM_001909.5,BS,6885
chr11,-,1773984,1775368,NM_001909.5,BS,1384
chr1,-,16558186,16559512,NM_030907.4,BS,1326
chr12,+,6879009,6880118,NM_001330333.2,BS,1109
chr22,-,28247656,28310335,NM_001284278.2,BS,62679
chr5,+,34686976,34688353,NM_001145525.2,BS,1377
chr6,-,128327170,128404969,NM_001291982.2,BS,77799
chr6,-,128327170,128388937,NM_001291982.2,BS,61767
chr19,-,4090318,4101278,NM_030662.4,BS,10960
chr3,+,185183534,185206882,NM_004721.5,BS,23348
chr3,-,149441866,149442575,NM_001348362.2,BS,709
chr3,-,149374662,149442575,NM_001348362.2,BS,67913
chr3,-,149290650,149442575,NM_001348362.2,BS,151925
chr3,-,149435228,149442575,NM_001348362.2,BS,7347
chr2,+,204116689,204144836,NM_001371698.1,BS,28147
chr2,+,204116689,204157049,NM_001371698.1,BS,40360
chr2,+,204116689,204150455,NM_001371698.1,BS,33766
chr10,+,12240703,12292588,NM_006023.3,BS,51885
chr17,-,73647265,73657788,NM_004259.7,BS,10523
chr17,-,73626698,73661252,NM_004259.7,BS,34554
chr17,-,73647265,73661252,NM_004259.7,BS,13987
chr17,-,73647265,73657146,NM_004259.7,BS,9881
chr17,-,73647265,73654540,NM_004259.7,BS,7275
chr17,-,73624297,73654540,NM_004259.7,BS,30243
chr17,+,44372496,44383675,NM_014834.4,BS,11179
chr15,-,64979772,64983790,NM_002537.3,BS,4018
chr15,-,64979772,64981368,NM_002537.3,BS,1596
chr13,-,22066829,22113827,NM_152726.3,BS,46998
chr7,-,5567634,5570232,NM_001101.5,BS,2598
chr3,-,37114280,37152556,NM_006309.4,BS,38276
chr3,-,37114280,37147014,NM_006309.4,BS,32734
chr3,-,37125126,37133029,NM_006309.4,BS,7903
chr3,-,37114280,37136399,NM_006309.4,BS,22119
chr3,-,37132957,37190529,NM_006309.4,BS,57572
chr3,-,37132957,37136399,NM_006309.4,BS,3442
chr3,-,37132957,37163027,NM_006309.4,BS,30070
chr3,-,37149563,37156586,NM_006309.4,BS,7023
chr3,-,37096576,37133029,NM_006309.4,BS,36453
chr3,-,37114280,37144504,NM_006309.4,BS,30224
chr3,-,37169120,37190529,NM_006309.4,BS,21409
chr3,-,37152481,37156586,NM_006309.4,BS,4105
chr3,-,37132957,37138151,NM_006309.4,BS,5194
chr3,-,37132957,37170640,NM_006309.4,BS,37683
chr3,-,37132957,37147014,NM_006309.4,BS,14057
chr3,-,37132957,37144504,NM_006309.4,BS,11547
chr3,-,37125126,37169171,NM_006309.4,BS,44045
chr3,-,37100280,37133029,NM_006309.4,BS,32749
chr3,-,37125126,37156586,NM_006309.4,BS,31460
chr3,-,37105232,37133029,NM_006309.4,BS,27797
chr3,-,37114280,37138151,NM_006309.4,BS,23871
chr1,+,201798284,201816766,NM_018085.5,BS,18482
chr1,+,201832575,201853419,NM_018085.5,BS,20844
chr15,+,29287955,29393987,NM_001353790.2,BS,106032
chr15,+,29287955,29385423,NM_001353790.2,BS,97468
chr15,+,29287955,29347038,NM_001353790.2,BS,59083
chr15,+,29287955,29368294,NM_001353790.2,BS,80339
chr20,-,47732318,47775683,NM_001322931.2,BS,43365
chr9,-,91978655,92002523,NM_001371200.1,BS,23868
chr16,+,28735642,28747051,NM_001199142.1,BS,11409
chr19,-,16646262,16653248,NM_006387.6,BS,6986
chr16,+,67227374,67232821,NM_001950.4,BS,5447
chr2,-,228123893,228170371,NR_102371.1,BS,46478
chr6,+,150094273,150132557,NM_005389.2,BS,38284
chr6,+,150117550,150132557,NM_005389.2,BS,15007
chr6,+,150092297,150132557,NM_005389.2,BS,40260
chr3,+,122825595,122880951,NM_006810.4,BS,55356
chr8,-,41786996,41839472,NM_006766.5,BS,52476
chr5,-,176346170,176385155,NR_146149.1,BS,38985
chr5,-,176346170,176378578,NR_146149.1,BS,32408
chr5,-,176346170,176370489,NR_146149.1,BS,24319
chr11,-,62394331,62401847,NM_198335.4,BS,7516
chr5,-,70333333,70334308,NM_001395398.1,BS,975
chr5,-,70334255,70343940,NM_001395398.1,BS,9685
chr5,-,70334255,70338111,NM_001395398.1,BS,3856
chr5,-,70334255,70341334,NM_001395398.1,BS,7079
chr19,-,5916149,5941846,NM_007322.3,BS,25697
chr1,-,50162948,50317190,NM_001323574.2,BS,154242
chr1,-,49511255,49711536,NM_001323574.2,BS,200281
chr1,-,49332862,49711536,NM_001323574.2,BS,378674
chr16,+,14976450,14990014,NM_014287.4,BS,13564
chr16,+,14958441,14990014,NM_014287.4,BS,31573
chr1,+,43826790,43828874,NM_001255.3,BS,2084
chr1,+,43826169,43828874,NM_001255.3,BS,2705
chr1,+,43827865,43828874,NM_001255.3,BS,1009
chr1,+,43824837,43828874,NM_001255.3,BS,4037
chr1,+,43826403,43828874,NM_001255.3,BS,2471
chr1,+,43825639,43828874,NM_001255.3,BS,3235
chr9,+,127969842,127996440,NM_005833.4,BS,26598
chr2,+,15735613,15771225,NM_004939.3,BS,35612
chr2,+,15758304,15771225,NM_004939.3,BS,12921
chr2,+,135093787,135212192,NM_001371457.1,BS,118405
chr2,+,135099160,135212192,NM_001371457.1,BS,113032
chr2,+,135199328,135212192,NM_001371457.1,BS,12864
chr2,+,135185935,135212192,NM_001371457.1,BS,26257
chr2,+,135180373,135212192,NM_001371457.1,BS,31819
chr2,+,135107375,135212192,NM_001371457.1,BS,104817
chr2,+,135170439,135212192,NM_001371457.1,BS,41753
chr4,-,169277885,169317278,NM_001378072.1,BS,39393
chr4,-,169277885,169362643,NM_001378072.1,BS,84758
chr2,+,159355351,159389828,NM_001377220.1,BS,34477
chr2,+,159522924,159537941,NM_001377220.1,BS,15017
chr2,+,159355351,159433895,NM_001377220.1,BS,78544
chr2,+,159535092,159537941,NM_001377220.1,BS,2849
chr6,+,56846508,56880151,NM_152731.3,BS,33643
chr6,+,56846508,56882197,NM_152731.3,BS,35689
chr8,+,25317899,25346205,NM_001317907.1,BS,28306
chr14,+,78353433,78374262,NM_001366490.2,BS,20829
chr14,+,78365442,78374262,NM_001366490.2,BS,8820
chr6,+,26449889,26453643,NM_006994.5,BS,3754
chr10,-,46028557,46090355,NM_001401645.1,BS,61798
chr19,-,19740284,19748370,NM_016573.4,BS,8086
chr3,-,48711276,48716890,NM_016453.4,BS,5614
chr18,-,47323835,47339903,NM_006111.3,BS,16068
chr19,-,42470733,42485983,NM_001256214.2,BS,15250
chr19,-,39926246,39926589,NM_001363860.2,BS,343
chr1,+,244855180,244872335,NM_016076.5,BS,17155
chr1,-,156711900,156714938,NM_004494.3,BS,3038
chr7,-,86506221,86556232,NM_001142749.3,BS,50011
chr11,-,86157355,86168801,NR_147829.2,BS,11446
chr11,-,86168407,86209166,NR_147829.2,BS,40759
chr11,-,86153862,86168801,NR_147829.2,BS,14939
chr19,+,1074797,1086627,NM_012292.5,BS,11830
chr19,+,1073504,1086627,NM_012292.5,BS,13123
chr9,-,139567594,139569259,NM_006412.4,BS,1665
chr9,-,139567594,139572008,NM_006412.4,BS,4414
chr9,-,139567594,139571588,NM_006412.4,BS,3994
chr9,-,139567594,139581909,NM_006412.4,BS,14315
chr18,-,74083421,74090957,NM_014643.4,BS,7536
chr8,+,96057772,96064458,NM_001354525.2,BS,6686
chr9,-,86274882,86278958,NM_013438.5,BS,4076
chr9,-,86274882,86293514,NM_013438.5,BS,18632
chr9,-,86274882,86301070,NM_013438.5,BS,26188
chr9,-,86274882,86297981,NM_013438.5,BS,23099
chr9,-,86274882,86292876,NM_013438.5,BS,17994
chr9,-,86274882,86284242,NM_013438.5,BS,9360
chr9,+,132640616,132642568,NM_001008563.5,BS,1952
chr5,+,41929798,41935187,NM_033484.3,BS,5389
chrX,-,102930425,102939657,NM_001142418.2,BS,9232
chr15,+,69347673,69355102,NR_033671.3,BS,7429
chr19,+,8464746,8469318,NM_004218.4,BS,4572
chr13,+,31309687,31338563,NM_001204406.2,BS,28876
chrX,+,153661276,153664862,NM_001183.6,BS,3586
chrX,+,153663619,153664862,NM_001183.6,BS,1243
chrX,+,153660175,153664862,NM_001183.6,BS,4687
chrX,+,153657393,153664862,NM_001183.6,BS,7469
chrX,+,153662553,153664862,NM_001183.6,BS,2309
chrX,+,153663484,153664862,NM_001183.6,BS,1378
chr2,-,180378811,180409696,NR_104234.2,BS,30885
chr2,-,165984140,166020403,NM_001081677.2,BS,36263
chr1,-,184760165,184859356,NM_052966.4,BS,99191
chr17,+,41164195,41166473,NM_005533.5,BS,2278
chr17,+,42977096,42979020,NM_001258397.3,BS,1924
chr5,-,127593600,127855061,NM_001999.4,BS,261461
chr5,-,127593600,127626576,NM_001999.4,BS,32976
chr5,-,127593600,127616009,NM_001999.4,BS,22409
chr5,-,131825083,131826465,NM_002198.3,BS,1382
chr18,+,71985068,71995293,NM_001174123.2,BS,10225
chr18,+,71985068,72009363,NM_001174123.2,BS,24295
chr3,-,179605460,179618523,NM_001349389.2,BS,13063
chrX,+,47041349,47046212,NM_001204468.2,BS,4863
chrX,+,47038501,47046212,NM_001204468.2,BS,7711
chrX,+,47041147,47046212,NM_001204468.2,BS,5065
chrX,+,47045463,47046212,NM_001204468.2,BS,749
chrX,+,47039278,47046212,NM_001204468.2,BS,6934
chrX,+,47039817,47046212,NM_001204468.2,BS,6395
chrX,+,47028713,47046212,NM_001204468.2,BS,17499
chr11,-,134248401,134257834,NM_054025.3,BS,9433
chr19,+,1438805,1440494,NM_001308226.2,BS,1689
chr20,-,50700549,50782564,NM_199427.3,BS,82015
chr2,+,242651392,242659027,NM_001330161.2,BS,7635
chr19,+,8550486,8553998,NM_005968.5,BS,3512
chr11,+,125496643,125527042,NM_001114122.3,BS,30399
chr12,+,8925916,8933335,NR_147946.2,BS,7419
chr17,+,72744766,72764375,NM_004252.5,BS,19609
chr17,+,72744766,72758312,NM_004252.5,BS,13546
chr3,-,128338811,128356948,NM_002950.4,BS,18137
